ts,tx,side,amountPERRY,amountWBNB,usd,sender,recipient




1755032449,0xda4fd47c4b7995cb1e9a609982c6d58152dfae6c428b2ed946cbcb09e3ab0ec1,SELL_PERRY,9707.809122,0.023611,19.79,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd
1755032449,0xb0baf30db50bae9eb338b2eeeb0b29362ff8c426140a6813e9c302fb982756e8,SELL_PERRY,98449.700777,0.239248,200.50,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd
1755032449,0x32a7ccbcd90662a6770a4c6777788dad19a94bcece5ddb61dd66b0e83917d648,SELL_PERRY,205089.531790,0.497232,416.71,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73
1755032673,0x4de87f56bb2ce85ead56c1332a79568a52434e5a9082df7a6c561df01fab8ae8,BUY_PERRY,67836.936714,0.167630,140.42,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0x111111125421cA6dc452d289314280a0f8842A65
1755032982,0xaffb94328c7e6ca3e0d6bc22c80f4223ac7ea80d114d8b839e53abe5272eacc8,BUY_PERRY,2426.759917,0.006000,5.02,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a,0xb300000b72DEAEb607a12d5f54773D1C19c7028d
1755033274,0xf27b9fb79d128b68d8c04c3bab8de4a9e80dee40ada0c6a7236928fec1a82e6b,SELL_PERRY,61397.358731,0.148712,124.30,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd
1755033282,0x8717e534e34ca06933a48dce5af6315e9e135f39578eaa2f693184cbf582d61a,BUY_PERRY,11718.864742,0.028950,24.20,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a,0xb300000b72DEAEb607a12d5f54773D1C19c7028d
1755033409,0xfbff442656417e674ac19e84bdaf6187d9c47b1a93b753f1b9258cb819ee52e6,SELL_PERRY,8203.205320,0.019862,16.59,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a
1755033548,0xaeba03fcb0bfd3c09552a4894318b121c56a225ec7f7bee3bc193c2f03452ae7,BUY_PERRY,47801.554275,0.118127,98.68,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xb300000b72DEAEb607a12d5f54773D1C19c7028d
1755034472,0x1366d0e8402237546cbc45381f97491f73ef39b6b42c13d9db9f1f8a45554343,BUY_PERRY,70288.906413,0.173858,145.15,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0x111111125421cA6dc452d289314280a0f8842A65
1755034472,0x822a1b5d2de68c7e2859fa4026fc8942a38e962732da27785e32f14bb7aefed2,BUY_PERRY,115606.469995,0.286365,239.07,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0x111111125421cA6dc452d289314280a0f8842A65
1755034472,0xd7d71a4373889bb7524abd0fa972ad82b1df1222e1ee1ba366502c20a58995a0,SELL_PERRY,66774.461092,0.162176,135.39,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a,0x5efc784D444126ECc05f22c49FF3FBD7D9F4868a
1755034472,0xcc972ab92466b93bbcdb278437d2ed44ae1d876f3e5c6e9f3afd92a81575656e,SELL_PERRY,100000.000000,0.242558,202.50,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73
1755034472,0x00ab18221c3d4c539b9d1192bee1fbb3b8a34d8bf598b3771ee6fcdd648fc193,SELL_PERRY,20000.000000,0.048467,40.46,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd
1755035219,0x3bdd033946cfd570704cd149033a0a27e40aa1aaa453a01116837961cf6c674b,SELL_PERRY,115606.477069,0.279860,233.51,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73,0xde9e4FE32B049f821c7f3e9802381aa470FFCA73
1755035219,0xd9fe02f73365bcb5e5cedbb2e8b267c67e39aba89d6d7990dcfbe0536a84712d,SELL_PERRY,40000.000000,0.096716,80.70,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd
1755035219,0x97e1fc7b3678958f6a598cee23b4e656d4a544888ce0c22c84569afc9718d98e,BUY_PERRY,78023.223223,0.192540,160.65,0xcA852767B43a395AC1dD54737193eBA5E20c78Bd,0xb300000b72DEAEb607a12d5f54773D1C19c7028d
